!Expedition polar, thanks to Lars Eklund
2.0	32.0	1.25	36.0	1.41	40.0	1.56	45.0	1.73	52.0	1.93	60.0	2.10	70.0	2.24	75.0	2.27	80.0	2.28	90.0	2.22	100.0	2.09	110.0	2.38	120.0	2.27	130.0	2.03	135.0	1.88	140.0	1.75	150.0	1.48	160.0	1.25	165.0	1.18	170.0	1.13	180.0	1.09
4.0	32.0	2.60	36.0	2.94	40.0	3.26	45.0	3.60	52.0	3.98	60.0	4.30	70.0	4.54	75.0	4.59	80.0	4.61	90.0	4.52	100.0	4.29	110.0	4.78	120.0	4.59	130.0	4.15	135.0	3.88	140.0	3.60	150.0	3.05	160.0	2.56	165.0	2.40	170.0	2.31	180.0	2.22
5.0	32.0	3.28	36.0	3.70	40.0	4.06	45.0	4.45	52.0	4.88	60.0	5.25	70.0	5.51	75.0	5.56	80.0	5.58	90.0	5.49	100.0	5.23	110.0	5.82	120.0	5.60	130.0	5.10	135.0	4.79	140.0	4.47	150.0	3.83	160.0	3.22	165.0	3.02	170.0	2.90	180.0	2.79
6.0	32.0	3.93	36.0	4.39	40.0	4.79	45.0	5.22	52.0	5.68	60.0	5.99	70.0	6.17	75.0	6.21	80.0	6.22	90.0	6.15	100.0	5.97	110.0	6.49	120.0	6.30	130.0	5.91	135.0	5.63	140.0	5.29	150.0	4.56	160.0	3.86	165.0	3.64	170.0	3.50	180.0	3.36
7.0	32.0	4.52	36.0	5.02	40.0	5.46	45.0	5.86	52.0	6.22	60.0	6.45	70.0	6.60	75.0	6.63	80.0	6.63	90.0	6.58	100.0	6.43	110.0	6.97	120.0	6.77	130.0	6.46	135.0	6.24	140.0	5.98	150.0	5.26	160.0	4.49	165.0	4.23	170.0	4.07	180.0	3.92
8.0	32.0	5.05	36.0	5.57	40.0	5.95	45.0	6.28	52.0	6.57	60.0	6.79	70.0	6.94	75.0	6.98	80.0	6.99	90.0	6.93	100.0	6.78	110.0	7.42	120.0	7.20	130.0	6.88	135.0	6.69	140.0	6.47	150.0	5.89	160.0	5.09	165.0	4.81	170.0	4.64	180.0	4.47
9.0	32.0	5.41	36.0	5.94	40.0	6.25	45.0	6.52	52.0	6.81	60.0	7.07	70.0	7.27	75.0	7.33	80.0	7.34	90.0	7.28	100.0	7.11	110.0	7.78	120.0	7.64	130.0	7.30	135.0	7.10	140.0	6.87	150.0	6.36	160.0	5.67	165.0	5.38	170.0	5.19	180.0	5.00
10.0	32.0	5.77	36.0	6.15	40.0	6.41	45.0	6.66	52.0	6.95	60.0	7.25	70.0	7.57	75.0	7.65	80.0	7.68	90.0	7.64	100.0	7.46	110.0	7.98	120.0	8.06	130.0	7.73	135.0	7.52	140.0	7.27	150.0	6.73	160.0	6.14	165.0	5.90	170.0	5.72	180.0	5.53
12.0	32.0	6.09	36.0	6.40	40.0	6.62	45.0	6.87	52.0	7.18	60.0	7.53	70.0	7.90	75.0	8.06	80.0	8.27	90.0	8.39	100.0	8.18	110.0	8.54	120.0	8.73	130.0	8.72	135.0	8.43	140.0	8.10	150.0	7.47	160.0	6.87	165.0	6.68	170.0	6.54	180.0	6.39
14.0	32.0	6.27	36.0	6.54	40.0	6.77	45.0	7.03	52.0	7.38	60.0	7.75	70.0	8.19	75.0	8.42	80.0	8.65	90.0	9.14	100.0	9.16	110.0	9.09	120.0	9.48	130.0	9.85	135.0	9.68	140.0	9.22	150.0	8.25	160.0	7.57	165.0	7.36	170.0	7.21	180.0	7.05
16.0	32.0	6.38	36.0	6.65	40.0	6.89	45.0	7.17	52.0	7.55	60.0	7.94	70.0	8.47	75.0	8.75	80.0	9.04	90.0	9.68	100.0	10.26	110.0	9.83	120.0	10.20	130.0	10.68	135.0	10.91	140.0	10.64	150.0	9.31	160.0	8.33	165.0	8.07	170.0	7.90	180.0	7.73
20.0	32.0	6.52	36.0	6.81	40.0	7.07	45.0	7.39	52.0	7.81	60.0	8.31	70.0	9.01	75.0	9.42	80.0	9.84	90.0	10.67	100.0	11.57	110.0	12.28	120.0	11.69	130.0	12.39	135.0	12.72	140.0	13.04	150.0	12.17	160.0	10.45	165.0	10.00	170.0	9.70	180.0	9.37
