!Expedition polar, thanks to Lars Eklund
4.0	32.0	2.29	36.0	2.62	40.0	2.92	45.0	3.24	52.0	3.62	60.0	3.92	70.0	4.14	80.0	4.21	90.0	4.17	100.0	4.34	110.0	4.30	120.0	4.06	130.0	3.69	140.0	3.27	150.0	2.82	160.0	2.41	170.0	2.19	180.0	2.04
6.0	32.0	3.46	36.0	3.94	40.0	4.34	45.0	4.74	52.0	5.16	60.0	5.49	70.0	5.71	80.0	5.77	90.0	5.90	100.0	6.02	110.0	5.95	120.0	5.70	130.0	5.3	140.0	4.81	150.0	4.23	160.0	3.64	170.0	3.31	180.0	3.09
8.0	32.0	4.53	36.0	5.04	40.0	5.46	45.0	5.86	52.0	6.20	60.0	6.48	70.0	6.66	80.0	6.70	90.0	6.96	100.0	7.03	110.0	6.94	120.0	6.75	130.0	6.44	140.0	6.02	150.0	5.44	160.0	4.79	170.0	4.39	180.0	4.11
10.0	32.0	5.33	36.0	5.84	40.0	6.19	45.0	6.54	52.0	6.87	60.0	7.10	70.0	7.26	80.0	7.33	90.0	7.55	100.0	7.66	110.0	7.63	120.0	7.47	130.0	7.23	140.0	6.88	150.0	6.36	160.0	5.79	170.0	5.38	180.0	5.06
12.0	32.0	5.84	36.0	6.27	40.0	6.62	45.0	6.93	52.0	7.25	60.0	7.52	70.0	7.75	80.0	7.84	90.0	7.85	100.0	8.05	110.0	8.21	120.0	8.14	130.0	7.90	140.0	7.52	150.0	7.06	160.0	6.58	170.0	6.20	180.0	5.91
14.0	32.0	6.12	36.0	6.53	40.0	6.83	45.0	7.12	52.0	7.42	60.0	7.77	70.0	8.14	80.0	8.32	90.0	8.32	100.0	8.34	110.0	8.60	120.0	8.82	130.0	8.58	140.0	8.16	150.0	7.64	160.0	7.20	170.0	6.88	180.0	6.60
16.0	32.0	6.29	36.0	6.69	40.0	6.96	45.0	7.24	52.0	7.57	60.0	7.95	70.0	8.33	80.0	8.77	90.0	8.92	100.0	8.77	110.0	9.01	120.0	9.43	130.0	9.45	140.0	8.87	150.0	8.22	160.0	7.76	170.0	7.43	180.0	7.15
20.0	32.0	6.45	36.0	6.84	40.0	7.12	45.0	7.39	52.0	7.80	60.0	8.20	70.0	8.73	80.0	9.32	90.0	10.01	100.0	10.48	110.0	10.00	120.0	10.55	130.0	11.27	140.0	11.06	150.0	9.81	160.0	8.99	170.0	8.51	180.0	8.16
25.0	32.0	6.48	36.0	6.90	40.0	7.21	45.0	7.51	52.0	7.97	60.0	8.44	70.0	9.13	80.0	9.99	90.0	10.96	100.0	12.05	110.0	12.79	120.0	12.05	130.0	13.05	140.0	14.03	150.0	12.89	160.0	11.40	170.0	10.50	180.0	9.78
30.0	32.0	6.35	36.0	6.87	40.0	7.22	45.0	7.56	52.0	8.07	60.0	8.62	70.0	9.47	80.0	10.58	90.0	11.87	100.0	13.04	110.0	14.05	120.0	14.68	130.0	14.51	140.0	15.78	150.0	15.97	160.0	14.31	170.0	13.14	180.0	12.17
35.0	32.0	6.02	36.0	6.74	40.0	7.08	45.0	7.53	52.0	8.09	60.0	8.72	70.0	9.73	80.0	11.04	90.0	12.58	100.0	13.84	110.0	15.01	120.0	16.04	130.0	16.22	140.0	17.33	150.0	18.60	160.0	17.21	170.0	15.80	180.0	14.62
