!Expedition polar, thanks to Lars Eklund
6	40.9	3.45	52	5.11	60	5.30	75	5.40	90	5.28	110	5.24	120	5.07	135	4.56	150	3.78	180	3.27
8	38.7	4.11	52	5.84	60	5.97	75	6.05	90	6.07	110	6.11	120	5.98	135	5.52	150	4.81	180	4.16
10	36.4	4.53	52	6.21	60	6.32	75	6.42	90	6.50	110	6.61	120	6.51	135	6.19	150	5.65	180	4.92
12	35.7	4.70	52	6.41	60	6.56	75	6.73	90	6.79	110	7.06	120	6.98	135	6.64	150	6.24	180	5.58
14	35.4	4.77	52	6.49	60	6.68	75	6.96	90	7.05	110	7.47	120	7.44	135	7.09	150	6.66	180	6.12
16	35.3	4.81	52	6.55	60	6.76	75	7.11	90	7.34	110	7.80	120	7.96	135	7.59	150	7.08	180	6.52
20	35.7	4.83	52	6.62	60	6.86	75	7.30	90	7.74	110	8.33	120	9.12	135	9.23	150	8.11	180	7.31
24	36.9	4.77	52	6.64	60	6.91	75	7.40	90	8.00	110	8.92	120	10.33	135	12.59	150	10.91	180	9.45
