4	32	2.69	45	3.74	60	4.47	70	4.71	80	4.78	90	4.7	100	4.71	110	4.7	120	4.47	130	4.02	135	3.76	139.4	3.53	180	2.16
6	32	4.03	42.4	5.11	60	6.1	70	6.32	80	6.36	90	6.35	100	6.5	110	6.44	120	6.17	130	5.69	135	5.4	143.1	4.91	180	3.28
8	32	5.11	40.5	6.1	60	6.99	70	7.12	80	7.14	90	7.35	100	7.4	110	7.3	120	7.1	130	6.79	135	6.6	146.4	5.98	180	4.35
10	32	5.89	37.5	6.52	60	7.5	70	7.64	80	7.66	90	7.81	100	7.92	110	7.89	120	7.71	130	7.45	140	7.11	152.4	6.53	180	5.35
12	32	6.35	35.4	6.69	60	7.78	70	8.01	80	8.11	90	8.06	100	8.21	110	8.35	120	8.28	130	8.01	140	7.65	163.7	6.7	180	6.25
14	32	6.61	34.1	6.79	60	7.95	70	8.22	80	8.48	90	8.51	100	8.46	110	8.65	120	8.79	130	8.59	150	7.74	169.2	7.13	180	6.91
16	32	6.77	33.5	6.89	60	8.1	70	8.42	80	8.69	90	8.9	100	8.82	110	8.91	120	9.15	130	9.19	150	8.23	170.8	7.58	180	7.4
20	32	6.98	32.8	7.05	60	8.36	70	8.72	80	9.06	90	9.44	100	9.79	110	9.62	120	9.88	130	10.39	150	9.4	169.7	8.54	180	8.29
25	32	7.15	32.6	7.2	60	8.62	70	9.04	80	9.52	90	10.05	100	10.65	110	11.25	120	11.01	130	11.74	140	12.6	148.1	12.02	180	9.62
